prname,0
Alberta,7207.0
British Columbia,11032.0
Manitoba,1370.0
New Brunswick,48.0
Newfoundland and Labrador,149.0
Nova Scotia,61.0
Ontario,24120.0
Prince Edward Island,28.0
Quebec,15442.0
Saskatchewan,3124.0
